token_id,time_est,is_auction,price,currency,price_eth,price_usd,name,background,body,eyes,hand,head,mouth,skin,eyewear,face,neck,special features,legendary
762,2022-06-08 14:36:15,False,0.19,eth,0.19,319.56,Fear City #762,Subway,Army Jacket,Normal,Hot Dog,Blue Baseball Cap,Joker with Ciggy,Baker,,,,,
3231,2022-06-08 02:09:10,False,0.19,eth,0.19,319.43,Fear City #3231,Blue City,Plaid Shirt Open,Normal Eyes,Silver Ball and Chain,Spikey Blonde Hair,Idol Sneer,ShadowKai,,,,,
2856,2022-06-10 08:04:13,False,0.19,eth,0.19,319.43,Fear City #2856,3D Flag,Power Hoodie,Natural,Cash,Black Biker Helmet with White Stripe,,Sophia,,Nose BandAid,,Pigeon,
2677,2022-06-10 08:03:12,False,0.19,eth,0.19,319.43,Fear City #2677,Static,Blue Vest,Normal,Light Bulb,Samurai Semi Bun,Ciggy Holder,Baker,Ski Goggles,,,,
1698,2022-06-06 10:19:55,False,0.19,eth,0.19,319.56,Fear City #1698,Static,Denim Cut Off and Green T,Normal,Statue of Liberty,Samurai Semi Bun,Idol Sneer,Baker,,,,,
2046,2022-06-08 10:06:14,False,0.195,eth,0.195,327.84,Fear City #2046,God Bless America,Blue Bomber,Normal,Silver Ball and Chain,Black Biker Helmet with White Stripe,,Baker,,,,,
2807,2022-06-05 23:50:21,False,0.195,eth,0.195,327.84,Fear City #2807,,,,,,,,,,,,Legendary Baker
2624,2022-06-07 09:42:22,False,0.195,eth,0.195,327.84,Fear City #2624,Green Flag,Camo Bomber,Normal,Cop Car,Shiba Baseball Cap,Brown Beard,Baker,,,,,
1569,2022-06-05 11:28:37,False,0.19699999999999998,eth,0.197,331.33,Fear City #1569,Subway,Green International Friendship Vest,,Red Knife,Pippi,Cigar,Thumper,,Rabbit Head,Basketball Sneakers,,
1990,2022-06-09 19:26:23,False,0.19699999999999998,eth,0.197,331.2,Fear City #1990,Pink Spotlight,Camo Bomber,Normal,Statue of Liberty,Red Wonky Baseball Cap,Brown Beard,Baker,,,,,
657,2022-06-09 17:05:02,False,0.198,eth,0.198,333.01,Fear City #657,God Bless America,All Art Hoodie,Normal,Python,Blue Pigol Bucket Hat,Natural Lips,Baker,,Nose Band Aid,,,
1813,2022-06-08 15:13:13,False,0.19899999999999998,eth,0.199,334.69,Fear City #1813,Blue City,Black Hoodie,,Goldfish,Blue Zorro Mask,Joker with Ciggy Holder,Thumper,,Rabbit Head,Basketball Sneakers,,
1539,2022-06-05 09:40:59,False,0.19899999999999998,eth,0.199,334.69,Fear City #1539,Green Flag,Butterfly Knives T,Empress,Goldfish,Cat Ear Headphones Green Hair,Smiley Smeared with Ciggy,Barb,80s Purple Lens,Nose Band Aid,Samurai Bling,,
1208,2022-06-04 21:48:41,False,0.2,eth,0.2,336.38,Fear City #1208,Green Flag,Plaid Shirt Open,Clown,Goat with Ciggy,Red Wonky Baseball Cap,It Lips,Helen,,Nose Ring Diamond,Samurai Bling,,
2882,2022-06-04 18:23:02,False,0.2,eth,0.2,336.25,Fear City #2882,Subway,Bliss Hotel T,Natural,Big Lolly,Bob a Job,Lovely Lips,Sophia,Black Glasses Pink Lens Big Eyes,,Choker,,
2883,2022-06-04 18:23:35,False,0.2,eth,0.2,336.25,Fear City #2883,God Bless America,Green International Friendship Vest,,Hummingbird,Neon Biker Helmet,,Thumper,,Rabbit Head,,,
375,2022-06-10 17:50:52,False,0.2,eth,0.2,335.2,Fear City #375,God Bless America,Free Panther T,Normal,Blue Lightsaber,80s Flat Top,Idol Sneer,Baker,Ski Goggles,,,,
2935,2022-06-04 18:40:17,False,0.2,eth,0.2,336.25,Fear City #2935,Green Flag,Black Hoodie,Normal Eyes,Red Lightsaber,Dark Pink Short Mohawk,Idol Sneer,ShadowKai,,,,,
775,2022-06-04 18:36:32,False,0.213,eth,0.213,358.24,Fear City #775,God Bless America,NGMI T,Normal Eyes,Ice Pick,Black Supermeme Hat,Joint,ShadowKai,Matrix Glasses,Nose Band Aid,,,
2910,2022-06-10 03:32:31,False,0.22,eth,0.22,369.87,Fear City #2910,Green Flag,Red Champion Hoodie,,Goldfish,Gold Bunny Mask with Glasses,Joint,Thumper,,Rabbit Head,,,
450,2022-06-07 09:35:14,False,0.22,eth,0.22,370.01,Fear City #450,Love Flash,Denim Cut Off and Green T,Normal,Drill,Green Mask,Idol Sneer,Baker,,,,,
2047,2022-06-04 18:34:03,False,0.22,eth,0.22,369.87,Fear City #2047,3D Flag,Happy to See You T,Tentacles,Pills,Green Baseball Cap,Idol Sneer,Baker,,,,,
2543,2022-06-09 23:39:12,False,0.222,eth,0.222,373.23,Fear City #2543,Green Flag,Red Champion Hoodie,Natural,Coffee,Rachel,Joint,Sophia,,Stardust Lightning Bolt,,,
873,2022-06-07 09:08:57,False,0.225,eth,0.225,378.42,Fear City #873,God Bless America,Free Panther T,Normal,Parrot,Spikey Blonde Hair,Joint and Smoke,Baker,Ski Goggles,Nose Band Aid,Samurai Bling,,
411,2022-06-04 18:46:15,False,0.23,eth,0.23,386.83,Fear City #411,Subway,Plaid Shirt Open,Normal Eyes,Red Lightsaber,Black Biker Helmet with White Stripe,Joint and Smoke,ShadowKai,,,,,
458,2022-06-09 13:50:33,False,0.23,eth,0.23,386.83,Fear City #458,God Bless America,Red Football Jersey,,Hot Dog,Yellow Baseball Cap,Sexy Lips,Thumper,,Rabbit Head,,,
1225,2022-06-08 16:05:19,False,0.23,eth,0.23,386.83,Fear City #1225,Green Flag,Blue Bomber,Normal Eyes,Cash,Spikey Blonde Hair,Goatee,ShadowKai,,Nose Band Aid,,,
935,2022-06-04 17:14:53,False,0.24,eth,0.24,403.65,Fear City #935,Green Flag,Yellow Roller Disco T,Smokey Punk,Knife Up,Tarti Hat and Green Wig,Smiley Smeared with Ciggy,Barb,White 80s Frames,,Trainers Around Neck,,
2465,2022-06-08 03:01:05,False,0.24,eth,0.24,403.65,Fear City #2465,Blue Magic,Purple Hoodie,Natural,Cash,Neon Biker Helmet,,Sophia,,Face Tattoo,Choker,Pigeon,
2261,2022-06-08 07:27:58,False,0.24,eth,0.24,403.5,Fear City #2261,Green Flag,Plaid Shirt Open,Smokey Punk,Syringe,Brown Princess Leia,Joker,Barb,Black Glasses Surprised,Eye Black,,Nunchakus,
1283,2022-06-04 18:01:45,False,0.245,eth,0.245,412.06,Fear City #1283,God Bless America,NGMI T,Normal,Coffee,Samurai Semi Bun,Brown Beard,Baker,Aviators,,,Smiley Band Aid,
1790,2022-06-04 17:41:03,False,0.249,eth,0.249,418.79,Fear City #1790,Subway,Blue Bomber,Demon,Milk,80s Flat Top,Goatee,ShadowKai,Red Clubmasters,,,,
2457,2022-06-04 18:43:47,False,0.25,eth,0.25,420.31,Fear City #2457,God Bless America,Camo Bomber,Normal,Parrot with Ciggy,Blue Pigol Bucket Hat,Idol Sneer,Baker,Gold Frames,,,,
690,2022-06-05 05:31:27,False,0.25,eth,0.25,420.47,Fear City #690,Static,Champion T,Smokey,Syringe,Tarti Hat and Green Wig,Madonna Mouth,Helen,,Nose Band Aid,,Tentacles,
304,2022-06-08 21:07:07,False,0.25,eth,0.25,420.47,Fear City #304,Blue City,Green Leather Trench,,Oscar,Red Mullet Over,Joker with Ciggy,Thumper,Black Rectangle Shades,Rabbit Head,,,
1619,2022-06-05 08:52:47,False,0.25,eth,0.25,420.47,Fear City #1619,Green Flag,Green Vest,,Cash,Spikey Blonde Hair,Natural Lips,ShadowKai,Bitcoins,,Samurai Bling,,
2755,2022-06-07 08:55:29,False,0.25,eth,0.25,420.31,Fear City #2755,Static,Plaid Shirt Open,Normal,AK-47,Green Baseball Cap,Natural Lips,Baker,,,,,
1477,2022-06-09 21:07:41,False,0.25,eth,0.25,420.47,Fear City #1477,Green Flag,Keep Disco Evil Hoodie,Natural,Silver Ball and Chain,Gold Short Pixie,Penny Pipe,Sophia,Black Rectangle Shades Red Lens,,Choker,,
2754,2022-06-05 04:26:13,False,0.26,eth,0.26,437.12,Fear City #2754,God Bless America,Bliss Hotel T,,Molotov,Blonde Mullet Over,Monster Joint,Thumper,Clubmasters,Rabbit Head,Clock Bling,,
2838,2022-06-04 19:38:22,False,0.27,eth,0.27,453.93,Fear City #2838,Under Water,Champion T,Natural,Zippo,Blonde Bell Bob,Joker with Toothpick,Helen,,Gold Nose Ring,Clock Bling,Pigeon,
3072,2022-06-04 19:10:05,False,0.28,eth,0.28,470.74,Fear City #3072,Subway,Black Metal TeaTime T,Normal,Colt 45,Silver Hero Mask,Goatee,Baker,,,,,
3228,2022-06-07 08:24:33,False,0.285,eth,0.285,479.15,Fear City #3228,Green Flag,Butterfly Knives T,Shock Rock,COVID,Yellow Baseball Cap,Geisha Pierced Lips,Barb,Rocket Man,,Samurai Bling,Tentacles,
3241,2022-06-05 11:10:35,False,0.29,eth,0.29,487.56,Fear City #3241,Subway,Blue Vest,Cyborg,Hummingbird,Spikey Blonde Hair,Natural Lips,ShadowKai,,,Samurai Bling,,
778,2022-06-09 12:36:14,False,0.29,eth,0.29,487.75,Fear City #778,Blue City,Free Panther T,Normal Eyes,Cop Car,Red Supermeme Hat,Brown Beard,ShadowKai,Red Clubmasters,Nose Band Aid,,,
1474,2022-06-07 14:36:19,False,0.299,eth,0.299,502.88,Fear City #1474,God Bless America,Free Panther T,Normal,COVID,Blonde Short Mohawk,Joint,Baker,,Nose Band Aid,,AK-47,
848,2022-06-04 18:23:30,False,0.3,eth,0.3,504.56,Fear City #848,Green Flag,Green Hoodie,Purple Mask,Red Knife,Pink Mohican,Joker,Helen,,Nose Band Aid,Samurai Bling,Hummingbird,
2580,2022-06-05 09:51:56,False,0.3,eth,0.3,504.37,Fear City #2580,God Bless America,Camo Bomber,Normal Eyes,Knife Up,80s Flat Top,Joker with Ciggy,ShadowKai,Red Clubmasters,Face Tattoo,,,
3308,2022-06-10 03:33:34,False,0.3,eth,0.3,504.37,Fear City #3308,Green Flag,Miss American T,Red Light,Goldfish,Soul Hat and Blue Hair,Monster Joint,Thumper,Clubmasters,Rabbit Head,Clock Bling,,
1720,2022-06-09 10:45:57,False,0.3,eth,0.3,504.56,Fear City #1720,Green Flag,NGMI T,Normal Eyes,Red Knife,Dark Pink Short Mohawk,Goatee,ShadowKai,,,,Pigeon,
