token_id,rank,score
1442,9471,70.28
1443,6361,87.23
1444,6350,87.26
1445,3402,102.07
1446,6372,87.19
1447,2967,105.19
1448,6577,86.15
1449,4890,94.06
1450,6218,87.88
1451,3764,100.12
1452,7522,81.88
1453,6229,87.82
1454,7941,79.84
1455,3691,100.52
1456,430,150.19
1457,5478,91.17
1458,2453,109.01
1459,1673,116.83
1460,122,214.30
1461,8827,74.99
1462,3536,101.31
1463,4140,97.92
1464,6617,85.97
1465,2165,111.59
1466,4546,95.70
1467,276,163.13
1468,6110,88.34
1469,8151,78.86
1470,8978,74.01
1471,1708,116.51
1472,6736,85.28
1473,7165,83.42
1474,9200,72.40
1475,7545,81.80
1476,2835,106.13
1477,4982,93.66
1478,8303,78.09
1479,1667,116.93
1480,3729,100.28
1481,8770,75.32
1482,9741,67.40
1483,2218,111.11
1484,7858,80.30
1485,6375,87.16
1486,7369,82.60
1487,9813,66.35
1488,1342,121.91
1489,5047,93.25
1490,3838,99.63
1491,332,157.36
1492,5068,93.15
1493,8453,77.31
1494,2457,108.98
1495,721,137.16
1496,8871,74.69
1497,4031,98.50
1498,5025,93.39
1499,2433,109.24
1500,8286,78.19
1501,7441,82.24
1502,2059,112.62
1503,1530,119.04
1504,8212,78.56
1505,9630,68.80
1506,4596,95.49
1507,2386,109.58
1508,413,150.94
